source_id,parallax,parallax_error,phot_g_mean_mag,bp_rp,phot_rp_mean_flux_over_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error
6165010320266420096,27.68709079805623,0.08825405,17.27829,0.9987831,117.14901,1063.4523,62.561306
2208601827199381632,27.687297094478655,0.016855238,6.9057045,0.6925607,977.5198,3420.0671,1128.3772
2372084431554856192,27.687600157956755,0.06150327,16.227034,3.746007,415.81927,1106.8143,64.18245
5485940291001257600,27.688831977471903,0.04482835,16.5023,3.9445572,604.53375,1252.5913,47.287518
3267695476250295936,27.69052048676848,0.0447468,15.448548,3.334484,553.6192,1077.5309,119.93891
170733402512180224,27.692443544749604,0.024495617,8.408183,1.0236797,5446.5054,8025.3086,4740.038
4704957491028733824,27.69292536424416,0.01613026,7.8488874,0.9694977,2147.293,6579.7915,2706.7695
1676222591989922560,27.69341569355755,0.013050141,11.079431,1.9585238,1497.7708,2924.7993,831.63574
2218598930513827072,27.694862647235823,0.020187812,14.649809,2.9328747,1650.0647,1806.4069,334.80124
6911302153991440640,27.6953053558125,0.018087145,10.392126,1.6877441,2840.8506,3394.7456,1620.9722
5789200991106342272,27.695828639127757,0.026373463,15.408575,3.3552465,914.8373,1667.7435,146.22668
3449330673993236864,27.696795640038385,0.04289946,15.661195,3.3495693,750.64606,1484.4299,76.034874
2344381647681790720,27.697282420969206,0.01644732,9.550267,1.3504581,4960.984,9328.62,3581.1084
5527342366990260096,27.698002604418527,0.010411011,13.244883,2.3183126,2522.8892,3208.8296,757.798
3579218009804134400,27.69880696377284,0.020171339,10.777589,1.8535728,1784.2194,3330.8074,1142.6243
565557312104998784,27.701606964558177,0.021421794,14.756547,3.0815878,1279.179,2061.2993,205.48605
1488484486239825664,27.702754195327795,0.21885788,19.169523,3.8169155,132.98032,477.9498,7.937899
5516132090034037504,27.703524892923284,0.07139609,16.614117,3.9436178,493.6693,818.2165,57.573727
2938924560199915776,27.7052754804485,0.0184407,14.421263,2.9934273,1115.9009,2284.0542,462.70917
3199115603133451136,27.705395924184764,0.026484465,14.457563,2.5165005,684.12146,2361.5688,173.95409
5539333125408012928,27.705488475446426,0.014556866,12.003502,2.3920307,66.48279,2986.3474,184.77583
710943879218687488,27.70663209578027,0.027446056,14.952458,3.0083237,919.31836,1924.7777,216.07588
5716601921958764672,27.707719716291294,0.019346396,14.071218,3.0189161,1196.0878,2268.2544,325.92633
6655166281739506688,27.70861770614153,0.022948626,13.989116,2.6345701,1593.2056,2184.531,484.88345
5664597598935360384,27.709241160707442,0.030819817,14.865902,3.1393232,676.5019,1461.2322,178.62476
2767384425386994048,27.71179805226479,0.019945703,10.45141,1.8283396,2665.7585,2879.7246,1164.099
1534384148897669248,27.712041387124042,0.07225858,17.12868,0.9787464,89.64794,763.8394,114.033455
42793752764180736,27.71237287564892,0.022748634,11.065103,2.0595245,1810.9543,2583.8806,997.80255
136049724826812032,27.712595827813974,0.022003878,13.965634,3.0095472,562.09705,1761.4769,331.03116
6106341960358972544,27.712916642937504,0.02532524,12.347243,2.5225496,730.86847,1354.4861,320.7669
3367396029562964096,27.713070954006994,0.016819589,13.559806,2.7898932,580.53955,1717.6613,253.32236
