,source_id,ra,dec,parallax,pmra,pmdec,bp_rp,phot_g_mean_mag
323,1611980464041596672,217.43602122880142,59.24572324229482,10.25964101319206,-16.07149685451483,-2.1646272660687482,1.8279848,12.480314
324,1618236822642628736,217.69401168475247,60.19037974943272,9.35640685089272,-15.30709618101813,-1.89903257825322,2.4399767,14.639533
325,1611876697631820032,217.766195151624,58.43912313553513,9.740031378554335,-16.05121752965761,-1.9459779125976118,3.08391,16.786278
326,1667017789879903616,217.8180479260478,63.22285726882071,10.247746826832621,-15.831579833222735,-1.3235110946389976,2.8046951,15.592257
327,1610939879365230464,217.8970089527187,57.39400560769396,10.013881512606249,-16.720793758825767,-1.2683306654541444,3.1807203,16.47434
328,1603372868544389760,217.91784262436667,48.902549926847826,10.181349663215109,-15.821405176570394,-3.17133532486506,2.956133,16.230629
329,1610713483049385600,218.89647633815508,56.932250023208034,9.51627532062429,-14.947682955780781,-2.0984130028115384,1.4233761,12.015053
330,1618391853781870464,218.93868810431687,61.275484328531206,9.930475548501331,-15.795652893794085,-0.8888227573755869,2.7784214,15.652842
331,1607164362593977472,219.06419349149672,55.13960842991849,10.168185492318107,-15.750288110592017,-2.0825996741783097,0.7782326,9.531792
332,1603491650160165120,219.53738140136534,49.99996339406625,10.652167559510977,-16.63987039834123,-2.681887155474525,2.9885387,16.16731
333,1618811489266407040,219.82000851064026,61.931256046137946,9.932944677093095,-16.722732831067827,-3.995523490717966,0.9199991,10.271931
334,1606929445063211776,219.8597882532692,54.774054976864356,11.076024007101156,-18.075597419653008,-2.802140835551225,0.8393717,9.685638
335,1605888688587491968,220.09921253427115,52.60214453318266,10.090652625713831,-15.907000902160636,-2.3678981374666903,2.6285734,14.853866
336,1617117038768988544,220.1255754547537,58.84638857244661,9.990261984117206,-15.471062427662941,-1.2410708164987179,2.9272184,16.477167
337,1618591449502198912,220.16683697055257,61.34340183277218,10.22553206656174,-16.369158940590246,-3.3731503875305444,2.8618488,15.731559
339,1606831343714000000,220.28280475272126,54.141639748747046,9.853251953963124,-15.139422388656165,-1.9205048260549418,3.600605,18.306038
340,1617349860356054144,220.63148531431074,60.23096002751861,9.495704501609877,-16.178428826381364,-3.7685733291602173,0.46710587,8.03793
341,1605868004025032064,220.73478188978257,52.68366903386065,10.175651734061258,-15.8770887293253,-1.6185921817584976,1.6051378,12.342363
343,1617661674982061312,221.48928802615174,60.168186861589795,9.340072485437538,-15.26917277927755,-1.1141834581883698,2.9226055,16.15735
344,1620262294859709440,221.80499716238234,62.77677671203659,10.830025337914634,-19.985521225631807,-3.809621267746971,2.9269705,16.204584
345,1607476280298633984,222.01171854948367,56.15919885287697,10.267038756870479,-15.70321319113104,-1.5633466003194003,0.99819565,9.816512
346,1620705604204013696,222.3736247721769,64.48514123747219,9.741598796299849,-15.679873073961417,-2.8587779131459987,3.008171,16.59754
347,1606191329163536640,222.52354127594432,53.634827293805685,10.164649397457689,-15.452143719313344,-2.658673471892897,0.8991957,10.098046
348,1620856404800311552,224.63001155507928,64.43148496483184,9.111299023436105,-14.670149105261295,-2.038123753906025,3.5203457,17.9391
349,1616063564895405824,226.3149257346221,60.7068752314502,10.130346246613716,-14.542345893463471,-1.7687081263983635,1.3845654,11.544675
351,1614947358730040064,228.0959373134159,59.234776406410795,10.569280271283253,-17.33639551421589,-1.581200734487057,1.5686312,12.174059
352,1620064657644993024,228.20060214037588,63.88052148488303,8.818895326779131,-13.927482942600797,-2.836222715817624,2.958435,16.512442
354,1643889047394003840,229.30308795143836,63.9804956683393,8.624766749966318,-14.263524509151765,-2.2425045336407314,1.9417973,13.570617
355,1615477495133500800,229.6653958596602,60.3897229373014,10.277334035885684,-17.903933479922223,-2.0235501153354103,3.180296,16.97847
357,1489389418670610816,222.51165267105287,42.15854443750894,10.39277010088789,-16.35740974727179,-4.77011484066578,3.1998043,17.898365
358,1497425469984297088,208.26636891237268,41.397387416313414,11.277145980302787,-18.628828623629115,-6.741873888203958,3.7442665,18.827444
359,1506824305831375872,214.42813237640001,46.47817520163043,11.423738375828547,-17.805456499164737,-4.383698811593078,3.5703373,19.00796
360,1620001985480691712,226.22801552435936,63.741644227378686,10.375867655697943,-15.13832443841548,-0.7149748131791083,1.0160418,10.512023
361,1661283115186488576,211.12885318429508,60.67662437637373,10.686213150067307,-16.06403808281123,-3.5891970987555224,2.7948408,15.35274
362,1663238798479454976,199.80942059336215,59.87631391319207,11.642445387188097,-20.393597744596676,-7.465581076303737,3.3788795,17.353632
363,1668031264722832256,215.19623699960653,63.7684681461485,10.455080022313462,-15.382492907153857,-1.9293379224891047,3.8418884,17.705107
364,1668110665782756352,213.71766906637177,64.14834476075812,11.092215954711556,-18.009129880231832,-3.2258243780275158,3.9358234,18.652617
365,1669197262443650944,223.2614801087438,65.72305415001908,9.434359371308824,-14.971960528673712,-2.688018800718429,,17.051777
366,1604774127395060992,215.1359874971253,51.28863861897915,10.497092157984909,-17.336138317984954,-3.477289486086301,3.7928867,18.72421
367,1676360061007537024,197.73055466447573,63.91500249238364,11.346943283235444,-19.469815897845788,-7.1169788312960005,3.7066135,17.78495
368,1512895701668161280,211.6233800448195,52.98494815026563,10.50546789866777,-16.294555177833303,-4.762525702637365,2.7473278,15.51541
369,1559808671664094848,202.38305848085264,51.703376107362324,10.499377454713532,-19.04810261562418,-4.975267863117737,,14.273327
370,1608752435341695872,214.73283099390298,54.86375905615558,10.509956111401141,-19.952035692405445,-5.141445363901303,0.23295069,6.4574633
371,1560938316782309248,206.6102532533198,53.081943831120114,10.361001227256585,-18.538103911263573,-3.5199956252510347,2.8844252,14.441871
372,1552031890343917952,202.83107854233674,47.749006092608454,10.823268016853694,-18.62254151954148,-6.572385458565233,3.833252,18.49119
373,1614499681403394304,224.67044125642363,59.883776660270186,10.066266470698833,-14.864435700094585,-2.1124105088566787,3.580309,18.551598
374,1618443698331637248,217.27673535514438,61.45976054224024,10.450990545112433,-16.09230936158565,-6.336114300482062,3.4721165,18.421614
375,1510428711107863680,208.73773752708564,48.848441098646425,10.984695405620965,-19.493768317722434,-5.849823777382776,3.150981,16.209713
