     twomass      |  lspmname   | tic |   kic    |        catra         |        catdec        | spectype |     r_spectype      |  jmag  |  hmag  |  kmag  |  vmag  |   v    |  e_v  |       bibcode       |   prot   | g_prot |       r_prot        
 03180742+3815081 | J0318+3815  |     |          |             0.864481 |             0.667625 | M1.5     | 2013AJ....145..102L |  7.023 |  6.371 |  6.164 |  10.28 |  10.28 |       | 1996AJ....112.2300W |          |        | 
 03183830+3239570 | J0318+3239  |     |          |             0.866725 |             0.570126 | M1.0     | 2013AJ....145..102L |  8.227 |  7.573 |  7.399 |  11.33 |  11.33 |       | 1987AJ.....93..451W |          |        | 
 03205965+1854233 | J0320+1854  |     |          |             0.877007 |             0.329978 | M8       | 1995AJ....109..797K | 11.759 | 11.066 | 10.639 | 18.881 | 18.881 |       | 2005AJ....130..337C |    0.614 | A      | 2016ApJ...821...93N
 03212176+7958022 | J0321+7958  |     |          |              0.87861 |             1.395692 | M2.0     | 2013AJ....145..102L |  7.704 |  7.117 |   6.89 |  11.11 |  11.11 | 0.034 | APASS8              |          |        | 
 03213402+1419143 | J0321+1419  |     |          |             0.879506 |             0.249941 |          |                     | 11.203 | 10.666 | 10.434 |  15.26 |  15.26 |       | 1996AJ....112.2300W |          |        | 
 03220410+0256346 | J0322+0256  |     |          |             0.881689 |             0.051365 | M 4.5    | 1995AJ....110.1838R | 10.314 |  9.806 |  9.508 |  14.78 |  14.78 |       | 1982PASP...94..821W |          |        | 
 03230175+4200269 | J0323+4200  |     |          |             0.885882 |             0.733169 | M 5      | 1995AJ....110.1838R | 10.389 |  9.857 |  9.599 |  15.31 |  15.31 |       | 1982PASP...94..821W |          |        | 
 03232241+1141134 | J0323+1141  |     |          |             0.887385 |             0.203978 | M3.5     | 2013AJ....145..102L |  8.386 |  7.805 |  7.562 |  12.19 |  12.19 |       | 1984ApJS...55..289W |          |        | 
 03240643+2347073 | J0324+2347  |     |          |              0.89059 |             0.415127 | M1.5     | 2013AJ....145..102L |  7.128 |  6.492 |  6.267 | 10.422 | 10.422 |       | 2010MNRAS.403.1949K |          |        | 
 03254225+0551519 | J0325+0551  |     |          |             0.897554 |             0.102353 | M 4.5    | 1995AJ....110.1838R |  9.946 |  9.333 |   9.12 |   14.7 |   14.7 |       | 1984ApJS...55..289W |    0.448 | A      | 2016ApJ...821...93N
 03285302+3722579 | J0328+3722  |     |          |             0.911435 |             0.652446 | sdK7     | 1997AJ....113..806G |  8.606 |  7.972 |  7.788 |  11.12 |  11.12 |       | 1979ApJS...39...89E |          |        | 
 03314712+1419194 | J0331+1419  |     |          |             0.924089 |              0.24996 | M2.5     | 2013AJ....145..102L |  8.695 |  8.149 |  7.907 | 12.263 | 12.263 |       | 2010MNRAS.403.1949K |          |        | 
 03393620+2528202 | J0339+2528W |     |          |               0.9582 |             0.444578 | M3.0     | 2013AJ....145..102L |  8.747 |  8.218 |  7.916 |  12.69 |  12.69 |       | 1996AJ....112.2300W |          |        | 
 03394050+2528476 | J0339+2528E |     |          |             0.958512 |             0.444711 | M 3.5    | 1995AJ....110.1838R |  9.079 |  8.387 |  8.142 |  13.08 |  13.08 |       | 1996AJ....112.2300W |          |        | 
 03422933+1231368 | J0342+1231  |     |          |             0.970799 |              0.21862 | sdM1.5   | 1997AJ....113..806G |  9.599 |  9.113 |  8.878 |  12.87 |  12.87 |       | 2017AJ....154..191J |          |        | 
 03434521+1640027 | J0343+1640W |     |          |             0.976312 |             0.290899 | M1.5     | 2013AJ....145..102L |  7.533 |  6.911 |  6.688 | 10.763 | 10.763 |       | 2010MNRAS.403.1949K |          |        | 
 03435253+1640198 | J0343+1640E |     |          |             0.976843 |             0.290982 | M0.0     | 2013AJ....145..102L |  7.046 |  6.408 |  6.247 |    9.9 |    9.9 |       | 2010MNRAS.403.1949K |          |        | 
 03443093+3458236 | J0344+3458  |     |          |             0.979634 |             0.610396 | M0.0     | 2013AJ....145..102L |  7.905 |  7.264 |  7.093 | 10.641 | 10.641 |  0.04 | APASS8              |  13.5616 | 0      | 2011AJ....141..166H
 03472091+0841464 | J0347+0841  |     |          |             0.991993 |             0.151781 | M 4.5    | 1995AJ....110.1838R |  9.849 |  9.272 |  9.022 |  14.48 |  14.48 |       | 1987AJ.....93..451W |          |        | 
 03475809+0247161 | J0347+0247  |     |          |             0.994699 |             0.048657 | M1.0     | 2013AJ....145..102L |  7.964 |  7.382 |   7.11 | 11.044 | 11.044 |       | 2010MNRAS.403.1949K |          |        | 
 03483822+7332352 | J0348+7332  |     |          |             0.997616 |             1.283569 | M2.0     | 2013AJ....145..102L |  7.994 |  7.355 |  7.166 |  11.32 |  11.32 |       | 1996AJ....112.2300W |          |        | 
 03524169+1701056 | J0352+1701  |     |          |             1.015328 |             0.297017 | M4.0 V   | 2006AJ....132.2360H |  8.933 |  8.375 |  8.053 |  13.85 |  13.85 |       | 2006AJ....132.2360H |     84.3 |        | 2018AJ....155..125W
 03595354+2605240 | J0359+2605  |     |          |             1.046737 |             0.455354 | M3.0     | 2013AJ....145..102L |  8.714 |  8.081 |  7.821 |  12.62 |  12.62 |       | 1996AJ....112.2300W |          |        | 
 04010755+5123196 | J0401+5123  |     |          |             1.052111 |             0.896903 | M 3.5    | 1995AJ....110.1838R |  9.665 |  9.068 |  8.842 |  13.65 |  13.65 |       | 1984ApJS...55..289W |          |        | 
 04013353+6424366 | J0401+6424  |     |          |             1.053997 |              1.12417 |          |                     |  9.043 |  8.344 |  8.143 |  12.14 |  12.14 |       | 1984ApJS...55..289W |          |        | 
 04040615+3042454 | J0404+3042  |     |          |             1.065097 |             0.536037 | M1.5V    | 2015A&A...577A.128A |  9.264 |  8.775 |  8.515 |  12.74 |  12.74 |       | 1987AJ.....93..451W |          |        | 
 04083742+3338134 | J0408+3338  |     |          |             1.084824 |             0.587077 | M1.0     | 2013AJ....145..102L |  7.016 |  6.395 |  6.178 |   10.2 |   10.2 |       | 1996AJ....112.2300W |     32.4 |        | 2018A&A...612A..89M
 04121693+6443560 | J0412+6443  |     |          |             1.100794 |             1.129789 | M 4      | 1995AJ....110.1838R |  9.156 |  8.577 |  8.289 |  13.73 |  13.73 |       | 1984ApJS...55..289W |    1.594 | A      | 2016ApJ...821...93N
 04125880+5236421 | J0412+5236  |     |          |             1.103833 |             0.918246 | M4.0     | 2013AJ....145..102L |  8.773 |  8.248 |  7.915 |   13.5 |   13.5 |       | 1996AJ....112.2300W |          |        | 
 04131016+5031414 | J0413+5031  |     |          |             1.104659 |             0.881883 | M 4      | 1995AJ....110.1838R |   9.26 |   8.75 |  8.474 | 13.487 | 13.487 | 0.088 | APASS8              |          |        | 
 04205760+3728436 | J0420+3728  |     |          |             1.138653 |             0.654128 | M3.0     | 1997PASP..109..849G |  9.006 |   8.42 |   8.18 |   12.7 |   12.7 |       | 1996AJ....112.2300W |          |        | 
 04223348+3900436 | J0422+3900  |     |          |             1.145627 |              0.68089 | M 5      | 1995AJ....110.1838R | 10.473 |  9.939 |   9.67 |   15.3 |   15.3 |       | 1988AJ.....96.1710W |          |        | 
 04261992+0336359 | J0426+0336  |     |          |             1.162093 |             0.063006 | M6.5     | 1991ApJS...77..417K | 11.623 | 11.072 | 10.693 |  18.32 |  18.32 |  0.03 | 2017AJ....154..147D |          |        | 
 04290013+2155214 | J0429+2155  |     |          |             1.173743 |             0.382623 | K7       | 2014MNRAS.443.2561G |  5.674 |   5.05 |  4.875 |    8.3 |    8.3 |       | 2010MNRAS.403.1949K |          |        | 
 04302527+3951000 | J0430+3950  |     |          |             1.179937 |             0.695511 | M 4.5    | 1995AJ....110.1838R |  9.113 |  8.528 |  8.246 |  13.93 |  13.93 |       | 1988AJ.....96.1710W |    0.718 | A      | 2016ApJ...821...93N
 04311147+5858375 | J0431+5858W |     |          |             1.183297 |             1.029346 | M4       | 1994AJ....108.1437H |  6.622 |  6.012 |  5.717 |  11.04 |  11.04 |       | 1982PASP...94..821W |          |        | 
 04351236+5821100 | J0435+5821S |     |          |             1.200815 |             1.018447 |          |                     |  9.661 |  9.112 |   8.86 | 13.512 | 13.512 | 0.054 | APASS8              |          |        | 
 04363935+1113174 | J0436+1113  |     |          |             1.207139 |             0.195852 | M 4      | 1995AJ....110.1838R | 10.089 |  9.553 |  9.301 |   14.3 |   14.3 |       | 1996AJ....112.2300W |          |        | 
 04365843+5921599 | J0436+5921  |     |          |             1.208528 |             1.036143 | M2.0     | 2013AJ....145..102L |  8.986 |  8.346 |  8.134 | 12.374 | 12.374 | 0.086 | APASS8              |          |        | 
 04374092+5253372 | J0437+5253  |     |          |             1.211617 |             0.923169 | G/K      | 2013AJ....145..102L |  5.866 |  5.268 |  5.047 |   8.63 |   8.63 |       | 1996AJ....112.2300W |          |        | 
 04394326+0951467 | J0439+0951  |     |          |             1.220513 |             0.172142 | M3.2     | 2013AJ....145...52M | 10.263 |  9.715 |  9.421 |   14.1 |   14.1 |       | 1989SAAOC..13...29L |          |        | 
 04421603+5742275 | J0442+5742  |     |          |             1.231622 |             1.007187 | M0.0     | 2013AJ....145..102L |  8.456 |  7.862 |  7.686 |  11.37 |  11.37 |       | 1996AJ....112.2300W |          |        | 
 04425581+1857285 | J0442+1857  |     |          |             1.234513 |             0.330883 | M2.0     | 2013AJ....145..102L |  6.462 |  5.824 |  5.607 |  9.951 |  9.951 |       | 2010MNRAS.403.1949K |    38.92 |        | 2007AcA....57..149K
 04461849+4844518 | J0446+4844  |     |          |             1.249255 |             0.850809 | M 6      | 1995AJ....110.1838R | 11.559 | 11.056 | 10.764 |  17.29 |  17.29 |  0.03 | 2017AJ....154..147D |          |        | 
 04505083+2207224 | J0450+2207  |     |          |             1.269068 |             0.386113 | M 5      | 1995AJ....110.1838R |  9.896 |  9.311 |  8.977 |   15.2 |   15.2 |       | 1984ApJS...55..289W |          |        | 
 04520573+0628356 | J0452+0628  |     |          |             1.274507 |             0.113037 | M3.5     | 2013AJ....145..102L |  7.814 |  7.209 |  6.942 | 12.018 | 12.018 |       | 2010MNRAS.403.1949K |          |        | 
 04523448+4042255 | J0452+4042  |     |          |             1.276607 |             0.710466 | M 4      | 1995AJ....110.1838R |  9.071 |  8.551 |  8.306 |  13.44 |  13.44 |       | 1987AJ.....93..451W |      110 | A      | 2016ApJ...821...93N
 04584599+5056378 | J0458+5056  |     |          |             1.303615 |             0.889137 | M1.0     | 2013AJ....145..102L |  7.896 |  7.265 |  7.042 |  10.98 |  10.98 |       | 1996AJ....112.2300W |  30.4773 | 0      | 2011AJ....141..166H
 04585058+4950572 | J0458+4950  |     |          |             1.303948 |             0.870034 | M0.0     | 2013AJ....145..102L |  6.925 |  6.241 |  6.104 | 10.142 | 10.142 |     0 | APASS8              |          |        | 
 04593201+4846446 | J0459+4846  |     |          |             1.306962 |             0.851355 |          |                     |  8.396 |  7.752 |  7.624 | 10.861 | 10.861 | 0.129 | APASS8              |          |        | 
 05011551+2452245 | J0501+2452  |     |          |             1.314487 |             0.434124 | M2.0     | 2013AJ....145..102L |  8.084 |  7.488 |  7.205 | 11.533 | 11.533 | 0.038 | APASS8              |          |        | 
 05030563+2122362 | J0503+2122  |     |          |             1.322498 |             0.373093 | M5.0V    | 2015A&A...577A.128A |   9.75 |  9.165 |  8.888 | 14.643 | 14.643 | 0.028 | APASS8              |    0.375 | A      | 2016ApJ...821...93N
 05031607+2123563 | J0503+2123  |     |          |             1.323256 |             0.373482 | M1.5V    | 2015A&A...577A.128A |  7.451 |  6.822 |  6.569 | 10.905 | 10.905 | 0.036 | APASS8              |     1.05 | B      | 2016ApJ...821...93N
 05032402+5307412 | J0503+5307  |     |          |             1.323824 |             0.927269 | M0.5     | 2013AJ....145..102L |  7.001 |  6.414 |  6.172 |   9.98 |   9.98 |       | 1996AJ....112.2300W |       45 |        | 2018A&A...612A..89M
 05101805+0930073 | J0510+0930  |     |          |             1.353943 |             0.165842 | M2.0     | 2013AJ....145..102L |  8.864 |   8.27 |   8.03 | 12.285 | 12.285 | 0.012 | APASS8              |          |        | 
 05102208+4850327 | J0510+4850  |     |          |             1.354237 |             0.852459 | M2.5     | 2013AJ....145..102L |  7.827 |  7.197 |  6.969 | 11.366 | 11.366 | 0.052 | APASS8              |  32.6959 | 0      | 2011AJ....141..166H
 05124223+1939566 | J0512+1939  |     |          |             1.364428 |              0.34323 | M2.0     | 2013AJ....145..102L |  7.299 |  6.695 |   6.47 | 10.746 | 10.746 |       | 2010MNRAS.403.1949K |          |        | 
 05204073+5847198 | J0520+5847S |     |          |             1.399225 |             1.026059 | M 3.5    | 1995AJ....110.1838R |  9.926 |   9.36 |  9.062 |  14.06 |  14.06 |       | 1996AJ....112.2300W |          |        | 
 05204138+5847330 | J0520+5847N |     |          |             1.399273 |             1.026123 | M 3.5    | 1995AJ....110.1838R |  9.295 |  8.718 |  8.426 |  13.45 |  13.45 |       | 1996AJ....112.2300W |    68.09 | B      | 2016ApJ...821...93N
 05234546+6841138 | J0523+6841S |     |          |              1.41266 |             1.198817 |          |                     |  8.435 |  7.796 |  7.661 | 10.845 | 10.845 | 0.036 | APASS8              |          |        | 
 05234701+6841453 | J0523+6841N |     |          |             1.412773 |              1.19897 |          |                     | 10.956 |  10.37 | 10.127 | 14.344 | 14.344 | 0.039 | APASS8              |          |        | 
 05234899+2232397 | J0523+2232  |     |          |             1.412919 |              0.39347 | M 4.5    | 1995AJ....110.1838R | 10.703 | 10.191 |   9.85 |  15.52 |  15.52 |  0.02 | 1980AJ.....85..454H |          |        | 
 05280015+0938382 | J0528+0938  |     |          |             1.431181 |             0.168319 | M3.5 V   | 2002AJ....123.2002H |  8.311 |   7.84 |  7.542 | 12.425 | 12.425 |       | 2010MNRAS.403.1949K |          |        | 
 05281459+0258142 | J0528+0258N |     |          |             1.432232 |             0.051848 | M3.5     | 2013AJ....145..102L |  8.979 |  8.496 |  8.224 |  12.81 |  12.81 |       | 1996AJ....112.2300W |          |        | 
