     twomass      |  lspmname   | tic |   kic    |        catra         |        catdec        | spectype |     r_spectype      |  jmag  |  hmag  |  kmag  |  vmag  |   v    |  e_v  |       bibcode       |   prot   | g_prot |       r_prot        
 08131105+4344445 | J0813+4344  |     |          |             2.151923 |             0.763505 |          |                     | 10.021 |  9.423 |  9.179 |  13.84 |  13.84 |       | 1987AJ.....93..451W |          |        | 
 08141030+0234126 | J0814+0234E |     |          |             2.156231 |             0.044858 |          |                     |  9.827 |  9.177 |  8.987 | 12.754 | 12.754 | 0.028 | APASS8              |          |        | 
 08155393+3136392 | J0815+3136  |     |          |             2.163766 |             0.551713 | M1.0     | 2013AJ....145..102L |  8.935 |   8.28 |  8.069 | 11.981 | 11.981 | 0.043 | APASS8              |          |        | 
 08173877+5459401 | J0817+5459  |     |          |              2.17139 |             0.959833 |          |                     | 10.032 |  9.403 |  9.154 | 14.094 | 14.094 | 0.052 | APASS8              |          |        | 
 08201297+0920152 | J0820+0920  |     |          |             2.182605 |             0.162972 |          |                     | 10.465 |  9.851 |  9.565 | 15.138 | 15.138 | 0.006 | APASS8              |          |        | 
 08210264+5001141 | J0821+5001  |     |          |             2.186217 |             0.873025 | M0.5     | 2013AJ....145..102L |  8.672 |  7.961 |  7.798 | 11.668 | 11.668 |  0.03 | APASS8              |          |        | 
 08212368+0749045 | J0821+0749  |     |          |             2.187748 |             0.136449 |          |                     | 10.798 | 10.226 |  9.934 | 15.327 | 15.327 | 0.029 | APASS8              |          |        | 
 08215702+1748558 | J0821+1748  |     |          |             2.190166 |             0.310941 | M5.0     | 1997PASP..109..849G | 10.902 | 10.317 | 10.037 |  15.71 |  15.71 |       | 1996AJ....112.2300W |          |        | 
 08233688+6413378 | J0823+6413  |     |          |             2.197434 |             1.120976 |          |                     | 10.826 | 10.268 |  9.957 | 15.894 | 15.894 |     0 | APASS8              |          |        | 
 08241203+0919590 | J0824+0919  |     |          |              2.19999 |             0.162893 |          |                     | 10.091 |  9.549 |  9.311 | 14.315 | 14.315 | 0.015 | APASS8              |          |        | 
